pi,date,visit_count,duration,hours,visits_per_hr
1,2024-07-11,10.0,0 days 10:57:57,10.965833333333334,0.9119233984345314
6,2024-07-11,7.0,0 days 10:57:55,10.965277777777779,0.6383787207093097
6,2024-07-12,2.0,0 days 10:57:58,10.966111111111111,0.1823800597801307
1,2024-07-12,8.0,0 days 10:57:58,10.966111111111111,0.7295202391205228
6,2024-07-13,6.0,0 days 10:54:44,10.912222222222223,0.5498421749312697
1,2024-07-13,7.0,0 days 10:55:28,10.924444444444445,0.6407648494711147
6,2024-07-14,4.0,0 days 10:57:56,10.965555555555556,0.36477859965548687
1,2024-07-14,5.0,0 days 10:57:27,10.9575,0.4563084645220169
1,2024-07-15,10.0,0 days 09:54:58,9.91611111111111,1.008459857695109
6,2024-07-15,3.0,0 days 10:57:56,10.965555555555556,0.27358394974161515
6,2024-07-16,0.0,0 days 03:40:26,3.673888888888889,0.0
8,2024-07-18,1.0,0 days 08:40:31,8.675277777777778,0.11527008421120041
4,2024-07-18,2.0,0 days 09:31:35,9.526388888888889,0.20994314039947515
8,2024-07-19,1.0,0 days 14:58:55,14.981944444444444,0.06674701029016408
4,2024-07-19,2.0,0 days 14:58:55,14.981944444444444,0.13349402058032817
8,2024-07-20,0.0,0 days 07:22:08,7.368888888888889,0.0
4,2024-07-20,0.0,0 days 04:25:19,4.421944444444445,0.0
8,2024-07-21,3.0,0 days 14:58:54,14.981666666666667,0.20024474357548114
4,2024-07-21,5.0,0 days 14:58:55,14.981944444444444,0.33373505145082044
4,2024-07-22,2.0,0 days 14:39:42,14.661666666666667,0.13641013982039332
8,2024-07-22,5.0,0 days 14:58:54,14.981666666666667,0.33374123929246857
8,2024-07-23,0.0,0 days 05:36:04,5.601111111111111,0.0
4,2024-07-23,0.0,0 days 00:02:18,0.03833333333333333,0.0
7,2024-07-24,1.0,0 days 13:59:03,13.984166666666667,0.0715094452058876
2,2024-07-24,2.0,0 days 13:59:02,13.983888888888888,0.14302173135751461
7,2024-07-25,1.0,0 days 13:59:03,13.984166666666667,0.0715094452058876
2,2024-07-25,0.0,0 days 13:59:02,13.983888888888888,0.0
7,2024-07-26,3.0,0 days 13:58:55,13.981944444444444,0.21456243170755934
2,2024-07-26,1.0,0 days 13:58:55,13.981944444444444,0.07152081056918645
7,2024-07-27,0.0,0 days 13:57:24,13.956666666666667,0.0
2,2024-07-27,1.0,0 days 13:57:20,13.955555555555556,0.07165605095541401
7,2024-07-28,1.0,0 days 13:59:02,13.983888888888888,0.07151086567875731
2,2024-07-28,1.0,0 days 13:59:03,13.984166666666667,0.0715094452058876
7,2024-07-29,0.0,0 days 13:57:11,13.953055555555556,0.0
2,2024-07-29,1.0,0 days 13:56:56,13.948888888888888,0.07169029791301577
