pi,color,interval
1,cnt,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
1,grn,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
1,blv,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
1,grn,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
1,blv,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
2,blv,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
2,blv,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
2,cnt,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
2,blv,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
2,cnt,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
3,blu,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
3,blu,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
3,grn,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
3,cnt,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
3,blu,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
4,grn,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
4,cnt,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
4,yel,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
4,blu,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
4,grn,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
5,yel,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
5,yel,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
5,blu,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
5,yel,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
5,yel,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
6,cnt,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
6,yel,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
6,grn,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
6,blv,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
6,grn,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
7,yel,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
7,blu,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
7,cnt,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
7,yel,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
7,blu,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
8,blu,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
8,cnt,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
8,yel,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
8,cnt,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
8,yel,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
9,grn,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
9,grn,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
9,blv,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
9,grn,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
9,cnt,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
10,blv,"[2024-07-10 00:00:00, 2024-07-18 00:00:00)"
10,blv,"[2024-07-18 00:00:00, 2024-07-24 00:00:00)"
10,blu,"[2024-07-24 00:00:00, 2024-08-15 17:00:00)"
10,blu,"[2024-08-15 17:00:00, 2024-09-03 00:00:00)"
10,blv,"[2024-09-03 00:00:00, 2024-09-10 00:00:00)"
