imageID,species,sex,caste,taxonomicNotes
pi10_20240721_155239.jpg,Bombus,male,drone,cannot be identified
pi1_20240722_165209.jpg,Bombus fervidus,female,gyne,californicus color form
pi2_20240715_095948.jpg,Bombus vosnesenskii,female,,identified from neighbor image
pi2_20240721_174506.jpg,Bombus vosnesenskii,female,worker,cannot be distinguished from Bombus caliginosus
pi5_20240720_081914.jpg,Bombus vosnesenskii,female,worker,cannot be distinguished from Bombus caliginosus
pi6_20240722_093136.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi6_20240723_100122.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi6_20240723_102615.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi7_20240724_142740.jpg,Bombus mixtus,female,gyne,
pi8_20240718_140030.jpg,Bombus nevadensis,female,worker,
pi8_20240721_133911.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi8_20240721_153147.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi8_20240726_154920.jpg,Bombus vosnesenskii,male,drone,cannot be distinguished from Bombus caliginosus
pi8_20240727_141454.jpg,Bombus fervidus,female,worker,californicus color form
